City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Jayapura,-2.5333,140.7,78.19,92,68,5.44,ID,2023-10-29 18:01:14
1,Bilibino,68.0546,166.4372,-9.42,93,18,4.94,RU,2023-10-29 18:01:09
2,Murun-Kuren,49.6342,100.1625,30.72,36,94,2.91,MN,2023-10-29 18:01:14
3,Tiksi,71.6872,128.8694,9.14,95,100,5.39,RU,2023-10-29 18:01:15
4,Grytviken,-54.2811,-36.5092,38.07,91,74,5.77,GS,2023-10-29 18:01:15
5,Talavera De La Reina,39.9635,-4.8308,59.77,87,99,7.78,ES,2023-10-29 18:01:15
6,Adiake,5.2863,-3.304,80.08,81,65,7.4,CI,2023-10-29 18:01:16
7,Adamstown,-25.066,-130.1015,72.09,84,100,16.64,PN,2023-10-29 18:01:16
8,Malango,-2.9627,119.9001,64.99,91,96,2.3,ID,2023-10-29 18:01:16
9,Yellowknife,62.456,-114.3525,25.41,90,75,4.61,CA,2023-10-29 18:01:17
10,Yuzhno-Kurilsk,44.0306,145.8556,46.38,76,6,5.46,RU,2023-10-29 18:01:17
11,West Island,-12.1568,96.8225,78.78,83,100,17.27,CC,2023-10-29 18:01:17
12,Papatowai,-46.5619,169.4708,43.43,86,74,3.87,NZ,2023-10-29 18:01:18
13,Punta Arenas,-53.15,-70.9167,46.51,42,20,14.97,CL,2023-10-29 17:57:41
14,Trumann,35.6737,-90.5073,51.91,94,100,10.8,US,2023-10-29 18:01:18
15,Waitangi,-43.9535,-176.5597,47.82,93,13,1.36,NZ,2023-10-29 18:01:19
16,Tura,25.5198,90.2201,67.57,91,12,3.65,IN,2023-10-29 18:01:19
17,Anadyr,64.75,177.4833,30.7,92,75,13.42,RU,2023-10-29 18:01:20
18,Kenora,49.8167,-94.4337,25.77,80,75,8.05,CA,2023-10-29 18:01:20
19,Andilamena,-17.0167,48.5833,65.64,89,84,7.87,MG,2023-10-29 18:01:21
20,Thompson,55.7435,-97.8558,23.16,74,75,8.05,CA,2023-10-29 18:01:21
21,Mao,39.8885,4.2658,66.76,88,0,8.05,ES,2023-10-29 18:01:21
22,Badger,64.8,-147.5333,20.35,88,20,0.0,US,2023-10-29 17:56:52
23,Ilulissat,69.2167,-51.1,26.62,63,100,10.36,GL,2023-10-29 18:01:22
24,Port-Aux-Francais,-49.35,70.2167,35.06,95,100,22.93,TF,2023-10-29 18:01:22
25,Eusebio Ayala,-25.4,-56.9667,84.96,71,46,3.15,PY,2023-10-29 18:01:23
26,Margate,51.3813,1.3862,51.91,91,70,5.99,GB,2023-10-29 18:01:23
27,Port Mathurin,-19.6833,63.4167,76.57,78,8,13.76,MU,2023-10-29 18:01:05
28,Chonchi,-42.6128,-73.8092,48.11,64,69,11.7,CL,2023-10-29 18:00:24
29,Albany,42.6001,-73.9662,44.64,91,100,3.67,US,2023-10-29 17:57:48
30,Tafuna,-14.3358,-170.72,80.53,79,80,10.65,AS,2023-10-29 18:01:24
31,Port Elizabeth,-33.918,25.5701,57.49,77,20,6.91,ZA,2023-10-29 18:01:24
32,Mount Pearl,47.5166,-52.7813,49.14,63,75,27.63,CA,2023-10-29 18:01:24
33,Udachny,66.4167,112.4,2.44,84,99,6.46,RU,2023-10-29 18:01:25
34,Talnakh,69.4865,88.3972,1.2,96,80,3.29,RU,2023-10-29 18:01:25
35,Bethel,41.3712,-73.414,50.9,87,100,6.91,US,2023-10-29 17:59:13
36,Quelimane,-17.8786,36.8883,78.85,86,11,10.78,MZ,2023-10-29 18:01:26
37,Ushuaia,-54.8,-68.3,35.26,93,75,13.8,AR,2023-10-29 18:01:26
38,Tamiahua,21.2667,-97.45,83.23,66,15,7.78,MX,2023-10-29 18:01:26
